PRODUCTS,UNITS,BATCHES,EXPIRY
SWICH CV 5OMG SYP,3OML,19181708,01-21
LEVOLIN 1.25MG RESPULES,2 5ML,SA90 612,01-21
URIMAX 4MG,30,SA01452,08-22
GLYCOSTAR Ml TAB,10TAB,59TGO007,12-20
ZEPTIN TABLETS,10TAB,PCTE19111,03-21
FERIUM XT TAB,10,El6DG18074,10-20
XILIA MP 2,10TAB,EPBSAj9001,02-21
XILIA TRIO-2,10,EPM4EC9001,02-21
XILIA TRIO-2,10,EPM4EC9001,02-21
CEFTAS CV 200,10,RCCV9037,03-21
HIFENAC,10,KY1454,06-21
CILNY,15,N2001536,05-22
LIPICURE 20,15,N2001621,05-23
LIPICURE 10,10,TPIADO3,03-21
LIPICURE 10,10,TPIAD03,03-21
LIPICURE GOLD 10,15TAB,TF19E200,10-20
PREXARON SYRUP,6OML,LY55055,02-21
DEPRAN FORTE 15'S,15,K2001083,06-22
LOoz 20OML,20 OML,L1520420,08-22
RABIUM DSR 15 ' S,15TAB,NY1834,07-21
ZORYL,15S,G19zRAO11,05-21
HIFENAC MR,10,K2001134,06-22
SARTEL 80,15,KY1120,05-21
TENIVA FORTE TAB,15,NY2421,08-21
REJUNEX OD,10,NY1863,01-21
REJUNEX OD,10,NY1863,01-21
ZENOXA OD 900,10,VY0361,03-21
DERITAS 7 .5,10,NY0092,12-20
DERITAS 7 .5,10,NY0092,12-20
ACERA 20,10,IAC1901,12-20
ACERA TAB,10,PJRAF 28,12-20
AZIBACT 10OMG SYP,15ML,AHAA156,03-21
SOLVIN COLD AF DROP S 15ML,15ML,DSV0 88021R,10-20
SOLVIN COLD SYP,6OML,HWVO39014A,02-21
SOLVIN LS SYP 10OML,10OML,SLS19003,01-21
SOLVIN NASAL SPRAY,2 OML,2005028,04-23
VINICOR XL 25,10 'S,IA0018006A,11-20
MOX CV DS SUSP 457MG,3OML,AA83683,02-21
