PRODUCTS,UNITS,BATCHES,EXPIRY
ABSOLUT WOMAN TAB,10 TAB,ABWP19016,8/20
AMCHEK Z TAB,10 TAB,ABB1K83Q,10/20
AMIXIDE H TAB,10 TAB,EMT2810,10/20
ARGENTA SACH,1 SACH,ALS18105,7/20
ATORFIT CV 2OMG TAB,10 TAB,SY1078G,6/20
AZTOLET 1OMG TAB,"10""S",FHTO756,11/20
AZTOR EZ TAB,10 TAB,BST1489,7/20
CILNIPINE T TAB,10 TAB,PKEAU14,9/20
CLOPILET A 150 CAP,10 Caps,EMU0424,11/20
COMBIMIST L RESPULES,5*2ML,FI80275,8/20
COMBIMIST L INHALER,1 PC,1802147,8/20
COMBIMIST L RESPICAPS,30 CAP,S804791,11/20
COMBINASE FT N/S,9.8 GM,M820815,11/20
DDR 30 TAB,10 TAB,BC1904087A,9/20
DDR 30 TAB,10 TAB,BC1906067B,11/20
FLUVOXIN CR S0MG TAB,10'S,BST2094,12/20
FLUVOXIN CR 100MG TAB,10 TAB,ESUO081,12/20
FORMOST 400 INH,1 PC,1900145,12/20
FORMOST 400 INH,1 PC,M815059,8/20
GLIPIJ UB 20,10 TABI,27180208,8/20
GLIPIJ UB M FORTE,10 Tabs,PLKEBY03,10/20
GLYCHEK 8OMG TAB,15'S,GAZIL83,11/20
GLYCHEK M FORTE TAB,15's,GBA3H87,7/20
INFLACHEK D TAB,10'S,1CA1J82T,9/20
RING M TAB,10'S,27180238,9/20
J UBIGLIM MV 1,10 TAB,PKEBKOS,9/20
METOSARTAN 25MG TAB,10'S,EMT2886,10/20
MILFLOX DROP,5 ml,KFWO176,9/20
MONTRAL SYP,6OML,MNLSOO7,11/20
NASOCLEAR WASH,20 SACH,AFNW1809,11/20
NEVIRIN TAB,10'S,S190112C,8/20
NEXI PRIDE 50 TAB,10 TAB,BST1586,8/20
NORTRYPTOMER P TAB,10'S,WSS8106,9/20
OLMAT 20 AMH TAB,10'S,OTESOOO8,8/20
OLMAT 40 TAB,10 TAB,OTBS0029,9/20
OLMAT H TAB,10 TAB,OTCSO015,9/20
OSTIUM K 2 KIT,1KIT,VCM9O02,9/20
OXIPOD CV TAB,10 S,OBJE93P,10/20
PRAMIPEX ER 1.5MG TAB,10'S,BST1370,7/20
PRICHEK M 2 TAB,10 TAB,PBKIL83D,11/20
PRICHEK M 1 TAB,10 TAB,PBJII83D,8/20
PROLOMET XL 50,10 TAB,EST1078,11/20
QUTIPIN SR 200,10 TAB,EST1043,10/20
RB TONE SUSP,200 ML,E90434,9/20
ROSUTOR A 10/150MG,15 CAP,ARO1901,1/21
ROSUTOR GOLD 20/75,15 CAP,SY0349C,8/20
ROSVIN GOLD 10 TAB,10'S,19GSGC029,12/20
ROZAGOLD 10MG TAB,10'S,FHT0496,7/20
ROZAVEL F 10 TAB,10 TAB,EMT2259,8/20
Rosutor- 10/75,10'S,AFRR1809,8/20
TELMIJ UB 40 TAB,10 TAB,TH18017],7/20
TI GATEL 80 TAB,10 S,EMT2961A,10/20
TRIVOLIB 2MG TAB,10'S,FHS3508,11/20
TUSPEL PLUS SYP,100 ml,TBFZI8A1,8/20
VERTIZAC TAB 15'S,15'S,GT0298G,6/20
VERTIZAC TAB 15'S,15'S,GTO418H,7/20
VERTIZAC TAB 15'S,15'S,GT0418I,8/20
VERTIZAC TAB 15'S,15'S,GT04981,8/20
VOLIBO M 0.2MG TAB,10 TAB,EMT2538,9/20
ZILENTA 20MG TAB,10'S,27180210,8/20
