PRODUCTS,UNITS,BATCHES,EXPIRY
AZIBACT LR 100MG SYP,30ML,AHAH78,7/20
CALINTA KIT TAB,10 TAB,NY1345,9/20
CLOPITAB CV GOLD 10 CAP,10 S,2OCCAO12,7/20
DIVAA-OD 750MG TAB,10 TAB.,NX1647,7/20
PREGABID NT S0MG TABS,10'S,18143021S,4/20
PREGADOC M SR 75 TAB,10TAB,PDM18002,3/20
RABLET D TAB,10 Caps,RD190203,7/20
SOLVINCOLD SYRUP,60 ML,HWV038026,5/20
STARPRESS XL 100 TAB,10 TAB,6U801382,6/20
TELEKAST L KID TAB,10 TAB,14TTKO2O,4/20
TELISTA H 4OMG TAB,15 S,U800274,1/20
TONACT 10 TAB,15 TAB,U901002,4/21
TRIOLVANCE 20 TAB,"10""TAB",EPASBQ8002,9/20
URIMAX 0.4MG CAP,20 CAP,SA94405,4/22
VINICOR XL 50 TAB,10 TAB,IAMO19OOZA,5/21
VOBIT 0.2,10 TAB.,VT80402,3/20
XILIA MI TAB,10'S,EPGGAN9OO8,8/21
